Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_462147847.1,GCF_054924115.1: 3.873662,GCF_054924115.1: -77.290647,Colombia:Buenaventura | Colombia: Buenaventura,GCF_054924115.1: BioSample SAMN48931338 lat_lon field: 3.873662 N 77.290647 W | GCF_054924115.1: GenBank NZ_JBPCGV010000002.1 /lat_lon qualifier: 3.873662 N 77.290647 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN48931338 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCGV010000002.1
WP_119853069.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN10075489 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_QYSE01000002.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA491354
WP_220094646.1,GCF_013350085.1: -22.2887 | GCF_013349985.1: -22.2887 | GCF_013350045.1: -22.2887,GCF_013350085.1: -42.5341 | GCF_013349985.1: -42.5341 | GCF_013350045.1: -42.5341,GCF_013350085.1: Brazil: Rio de Janeiro | GCF_013349985.1: Brazil: Rio de Janeiro | GCF_013350045.1: Brazil: Rio de Janeiro | GCF_029991425.1: Brazil: Rio de Janeiro | GCF_029992495.1: Brazil: Rio de Janeiro | GCF_029992275.1: Brazil: Rio de Janeiro,GCF_013350085.1: BioSample SAMN15198644 lat_lon field: 22.2887 S 42.5341 W | GCF_013350085.1: GenBank NZ_JABVXE010000002.1 /lat_lon qualifier: 22.2887 S 42.5341 W | GCF_013349985.1: BioSample SAMN15198642 lat_lon field: 22.2887 S 42.5341 W | GCF_013349985.1: GenBank NZ_JABVXG010000001.1 /lat_lon qualifier: 22.2887 S 42.5341 W | GCF_013350045.1: BioSample SAMN15198641 lat_lon field: 22.2887 S 42.5341 W | GCF_013350045.1: GenBank NZ_JABVXH010000001.1 /lat_lon qualifier: 22.2887 S 42.5341 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN15198644 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABVXE010000002.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN15198642 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABVXG010000001.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN15198641 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JABVXH010000001.1
WP_250660409.1,GCF_023650795.1: 18.24,GCF_023650795.1: 109.36,China: Hainan Island,GCF_023650795.1: BioSample SAMN18533555 lat_lon field: 18.24 N 109.36 E | GCF_023650795.1: GenBank NZ_CP072676.1 /lat_lon qualifier: 18.24 N 109.36 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN18533555 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CP072676.1
WP_490386461.1,22.7546,-158.0067,depth: 746,BioSample SAMEA122612172 latitude/longitude fields: 22.75460000; -158.00670000,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122612172
WP_349274157.1,GCF_040104415.1: 16.79 | GCF_040104395.1: 16.79,GCF_040104415.1: -88.07 | GCF_040104395.1: -88.07,GCF_040104415.1: Belize: Carrie Bow Cay | GCF_040104395.1: Belize: Carrie Bow Cay,GCF_040104415.1: BioSample SAMN40698860 lat_lon field: 16.79 N 88.07 W | GCF_040104415.1: GenBank NZ_JBECOR010000006.1 /lat_lon qualifier: 16.79 N 88.07 W | GCF_040104395.1: BioSample SAMN40698858 lat_lon field: 16.79 N 88.07 W | GCF_040104395.1: GenBank NZ_JBECOT010000005.1 /lat_lon qualifier: 16.79 N 88.07 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN40698860 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBECOR010000006.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN40698858 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBECOT010000005.1
WP_212751477.1,GCF_005887425.1: -8.1005,GCF_005887425.1: 156.8451,Solomon Islands,GCF_005887425.1: BioSample SAMN08093551 lat_lon field: 8.1005 S 156.8451 E | GCF_005887425.1: GenBank NZ_PNCZ01000027.1 /lat_lon qualifier: 8.1005 S 156.8451 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08093551 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNCZ01000027.1
WP_337117224.1,Not reported,Not reported,GCF_037162385.1: Baltic Sea | GCF_037162425.1: Baltic Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN33769424 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JARLUS010000002.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA944971 | https://www.ncbi.nlm.nih.gov/biosample/SAMN33769422 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JARLUU010000002.1
WP_339981228.1,GCF_037619325.1: 31.4,GCF_037619325.1: -64.1,Atlantic Ocean | depth: 0-5 m,GCF_037619325.1: BioSample SAMN32961352 lat_lon field: 31.40 N 64.10 W | GCF_037619325.1: GenBank NZ_JAQPZS010000014.1 /lat_lon qualifier: 31.40 N 64.10 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN32961352 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAQPZS010000014.1
WP_138686283.1,GCF_005887195.1: -35.3413 | GCF_005887185.1: -35.3413,GCF_005887195.1: 79.9641 | GCF_005887185.1: 79.9641,GCF_005887195.1: Indian Ocean | GCF_005887185.1: Indian Ocean,GCF_005887195.1: BioSample SAMN08093530 lat_lon field: 35.3413 S 79.9641 E | GCF_005887195.1: GenBank NZ_PNDF01000040.1 /lat_lon qualifier: 35.3413 S 79.9641 E | GCF_005887185.1: BioSample SAMN08093529 lat_lon field: 35.3413 S 79.9641 E | GCF_005887185.1: GenBank NZ_PNDG01000010.1 /lat_lon qualifier: 35.3413 S 79.9641 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08093530 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNDF01000040.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN08093529 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNDG01000010.1
WP_205994337.1,GCF_004792295.1: 30.19,GCF_004792295.1: 130.1,Japan: Kagoshima | depth: 0-5cm,GCF_004792295.1: BioSample SAMN11337998 lat_lon field: 30.19 N 130.10 E | GCF_004792295.1: GenBank NZ_SRRY01000002.1 /lat_lon qualifier: 30.19 N 130.10 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN11337998 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_SRRY01000002.1
WP_251601605.1,25.4,66.1,"Pakistan:Lasbella, Sonmiani, Miani Hor | depth: 0.2 m",BioSample SAMD00492981 lat_lon field: 25.400 N 66.100 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD00492981
WP_483432081.1,Not reported,Not reported,depth: 5,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120656821 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA2619621 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDSJHH010000091.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104710
WP_304636376.1,22.1,119.28,China: Jiaolong seep,Parent BioSample SAMN27753710 lat_lon field: 22.1 N 119.28 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN27753710
WP_222937990.1,GCF_014349195.1: 16.797,GCF_014349195.1: -88.0844,Belize: Carrie Bow Cay Field Station,GCF_014349195.1: BioSample SAMN05805727 lat_lon field: 16.797 N 88.0844 W | GCF_014349195.1: GenBank NZ_JACSOG010000002.1 /lat_lon qualifier: 16.797 N 88.0844 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN05805727 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JACSOG010000002.1
WP_287244842.1,-18.5446,146.4881,Australia: Orpheus Island,Parent BioSample SAMN11878279 lat_lon field: 18.5446 S 146.4881 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN11878279
WP_483313308.1,Not reported,Not reported,depth: 800,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120696770 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA2621092 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_CDTEMQ010000109.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJEB104710
WP_462178957.1,GCF_054924015.1: 3.873662,GCF_054924015.1: -77.290647,Colombia:Buenaventura | Colombia: Buenaventura,GCF_054924015.1: BioSample SAMN48931343 lat_lon field: 3.873662 N 77.290647 W | GCF_054924015.1: GenBank NZ_JBPCHA010000002.1 /lat_lon qualifier: 3.873662 N 77.290647 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN48931343 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCHA010000002.1
WP_269407229.1,GCF_027213805.1: 54.331849,GCF_027213805.1: 10.144127,Germany: Kiel,GCF_027213805.1: BioSample SAMN32218588 lat_lon field: 54.3318490 N 10.1441270 E | GCF_027213805.1: GenBank NZ_JAPWGQ010000001.1 /lat_lon qualifier: 54.3318490 N 10.1441270 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN32218588 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAPWGQ010000001.1
WP_484580970.1,Not reported,Not reported,"USA: Isle of Palms, South Carolina",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN56691308 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBXUPC010000001.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1439895
WP_487117931.1,GCF_057543495.1: 36.178,GCF_057543495.1: 133.277,"Japan:Shimane, Oki, Sea of Japan | depth: 13",GCF_057543495.1: BioSample SAMD01680982 lat_lon field: 36.178 N 133.277 E | GCF_057543495.1: GenBank NZ_BAAJLX010000001.1 /lat_lon qualifier: 36.178 N 133.277 E,https://www.ncbi.nlm.nih.gov/biosample/SAMD01680982 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_BAAJLX010000001.1
WP_105173614.1,GCF_002964825.1: 28.33,GCF_002964825.1: 121.18,"China: Zhejiang Province, Ximen Island",GCF_002964825.1: BioSample SAMN08380962 lat_lon field: 28.33 N 121.18 E | GCF_002964825.1: GenBank NZ_PQCG01000001.1 /lat_lon qualifier: 28.33 N 121.18 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN08380962 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PQCG01000001.1
WP_212746797.1,GCF_005886115.1: 24.9963,GCF_005886115.1: -67.0246,Atlantic Ocean: North Atlantic,GCF_005886115.1: BioSample SAMN08093577 lat_lon field: 24.9963 N 67.0246 W | GCF_005886115.1: GenBank NZ_PNCP01000035.1 /lat_lon qualifier: 24.9963 N 67.0246 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN08093577 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNCP01000035.1
WP_235382668.1,GCF_982780175.1: 43.49 | GCF_021532595.1: 16.79,GCF_982780175.1: 7.9 | GCF_021532595.1: -88.07,GCF_982780175.1: Mediterranean Sea | GCF_021532595.1: Belize: Carrie Bow Cay,GCF_982780175.1: BioSample SAMEA122255927 latitude/longitude fields: 43.49000000; 7.90000000 | GCF_982780175.1: Parent BioSample SAMN06266142 lat_lon field: 43.4900 N 7.9000 E | GCF_021532595.1: BioSample SAMN24731163 lat_lon field: 16.79 N 88.07 W | GCF_021532595.1: GenBank NZ_JAKGBG010000013.1 /lat_lon qualifier: 16.79 N 88.07 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122255927 | https://www.ncbi.nlm.nih.gov/biosample/SAMN06266142 | https://www.ncbi.nlm.nih.gov/biosample/SAMN24731163 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAKGBG010000013.1
WP_462175783.1,GCF_054923875.1: 3.873662,GCF_054923875.1: -77.290647,Colombia:Buenaventura | Colombia: Buenaventura,GCF_054923875.1: BioSample SAMN48931351 lat_lon field: 3.873662 N 77.290647 W | GCF_054923875.1: GenBank NZ_JBPCHI010000002.1 /lat_lon qualifier: 3.873662 N 77.290647 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN48931351 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCHI010000002.1
WP_297330116.1,Not reported,Not reported,Peru: Oxygen minimum zone | depth: 301m,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN13632675 | https://www.ncbi.nlm.nih.gov/biosample/SAMN10181162 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAAEQE010000052.1 | https://www.ncbi.nlm.nih.gov/bioproject/PRJNA503328
WP_228482490.1,GCF_015278155.1: -22.58,GCF_015278155.1: -42.02,"Brazil: Rio de Janeiro, Arraial do Cabo",GCF_015278155.1: BioSample SAMN16593887 lat_lon field: 22.58 S 42.02 W | GCF_015278155.1: GenBank NZ_JADILN010000001.1 /lat_lon qualifier: 22.58 S 42.02 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN16593887 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JADILN010000001.1
WP_253039232.1,GCF_024124645.1: 18.37436,GCF_024124645.1: -64.9549,"Virgin Islands: St. Thomas, Hull Bay",GCF_024124645.1: BioSample SAMN29243492 lat_lon field: 18.37436 N 64.9549 W | GCF_024124645.1: GenBank NZ_JAMXSK010000013.1 /lat_lon qualifier: 18.37436 N 64.9549 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN29243492 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JAMXSK010000013.1
WP_138557790.1,GCF_947311895.1: 23.2469494 | GCF_005886815.1: 26.5042,GCF_947311895.1: 119.6679559 | GCF_005886815.1: -66.9964,GCF_947311895.1: Taiwan | GCF_005886815.1: Atlantic Ocean: North Atlantic,GCF_947311895.1: BioSample SAMEA111539002 latitude/longitude fields: 23.2469494; 119.6679559 | GCF_005886815.1: BioSample SAMN08093574 lat_lon field: 26.5042 N 66.9964 W | GCF_005886815.1: GenBank NZ_PNCS01000028.1 /lat_lon qualifier: 26.5042 N 66.9964 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA111539002 | https://www.ncbi.nlm.nih.gov/biosample/SAMN08093574 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNCS01000028.1
WP_082873985.1,GCF_001641615.1: 19,GCF_001641615.1: 119,China: South China Sea | depth: 0,GCF_001641615.1: BioSample SAMN04442130 lat_lon field: 19 N 119 E | GCF_001641615.1: GenBank NZ_LRRU01000008.1 /lat_lon qualifier: 19 N 119 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN04442130 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LRRU01000008.1
WP_348708929.1,GCF_964015405.1: -8.0045,GCF_964015405.1: 53.2943,Indian Ocean,GCF_964015405.1: BioSample SAMEA115425385 latitude/longitude fields: -8.00450000; 53.29430000 | GCF_964015405.1: Parent BioSample SAMN15782657 lat_lon field: 8.004500 S 53.294300 E,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115425385 | https://www.ncbi.nlm.nih.gov/biosample/SAMN15782657
WP_348714410.1,-20.4075,-3.1641,depth: 800,BioSample SAMEA115421953 latitude/longitude fields: -20.40750000; -3.16410000,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115421953
WP_462182065.1,GCF_054923915.1: 3.873662,GCF_054923915.1: -77.290647,Colombia:Buenaventura | Colombia: Buenaventura,GCF_054923915.1: BioSample SAMN48931348 lat_lon field: 3.873662 N 77.290647 W | GCF_054923915.1: GenBank NZ_JBPCHF010000002.1 /lat_lon qualifier: 3.873662 N 77.290647 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN48931348 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_JBPCHF010000002.1
WP_130167674.1,GCF_005886125.1: 24.9963 | GCF_005886795.1: 24.9963 | GCF_004208935.1: 7.46,GCF_005886125.1: -67.0246 | GCF_005886795.1: -67.0246 | GCF_004208935.1: -81.76,GCF_005886125.1: Atlantic Ocean: North Atlantic | GCF_005886795.1: Atlantic Ocean: North Atlantic | GCF_004208935.1: Panama: Coiba National Park,GCF_005886125.1: BioSample SAMN08093576 lat_lon field: 24.9963 N 67.0246 W | GCF_005886125.1: GenBank NZ_PNCQ01000009.1 /lat_lon qualifier: 24.9963 N 67.0246 W | GCF_005886795.1: BioSample SAMN08093575 lat_lon field: 24.9963 N 67.0246 W | GCF_005886795.1: GenBank NZ_PNCR01000008.1 /lat_lon qualifier: 24.9963 N 67.0246 W | GCF_004208935.1: BioSample SAMN10909769 lat_lon field: 7.46 N 81.76 W | GCF_004208935.1: GenBank NZ_SGPD01000042.1 /lat_lon qualifier: 7.46 N 81.76 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN08093576 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNCQ01000009.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN08093575 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_PNCR01000008.1 | https://www.ncbi.nlm.nih.gov/biosample/SAMN10909769 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_SGPD01000042.1
WP_062565773.1,GCF_001550135.1: 37.12,GCF_001550135.1: 142.42,Pacific Ocean: Shioyasaki offshore | depth: 2100 m,GCF_001550135.1: BioSample SAMN04442129 lat_lon field: 37.12 N 142.42 E | GCF_001550135.1: GenBank NZ_LRUE01000015.1 /lat_lon qualifier: 37.12 N 142.42 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN04442129 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LRUE01000015.1
WP_054562494.1,GCF_001306895.1: 41.524998,GCF_001306895.1: -70.673098,"USA: Garbage Beach, Woods Hole, MA",GCF_001306895.1: BioSample SAMN04088184 lat_lon field: 41.524998 N 70.673098 W | GCF_001306895.1: GenBank NZ_LJTB01000004.1 /lat_lon qualifier: 41.524998 N 70.673098 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN04088184 | https://www.ncbi.nlm.nih.gov/nuccore/NZ_LJTB01000004.1
WP_488035880.1,GCF_982684075.1: 22.75,GCF_982684075.1: -158,"Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 4000m",GCF_982684075.1: BioSample SAMEA122233135 latitude/longitude fields: 22.75000000; -158.00000000 | GCF_982684075.1: Parent BioSample SAMN09765695 lat_lon field: 22.75 N 158 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122233135 | https://www.ncbi.nlm.nih.gov/biosample/SAMN09765695
WP_487986883.1,GCF_982939845.1: 26.196 | GCF_982940325.1: 26.475 | GCF_982942705.1: 26.201,GCF_982939845.1: -158.156 | GCF_982940325.1: -158.313 | GCF_982942705.1: -158.477,"GCF_982939845.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982940325.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150 | GCF_982942705.1: Pacific Ocean | Pacific Ocean: North Pacific Gyre, Station ALOHA | depth: 150",GCF_982939845.1: BioSample SAMEA122297023 latitude/longitude fields: 26.19600000; -158.15600000 | GCF_982939845.1: Parent BioSample SAMN18233098 lat_lon field: 26.196 N 158.156 W | GCF_982940325.1: BioSample SAMEA122297013 latitude/longitude fields: 26.47500000; -158.31300000 | GCF_982940325.1: Parent BioSample SAMN18233097 lat_lon field: 26.475 N 158.313 W | GCF_982942705.1: BioSample SAMEA122297011 latitude/longitude fields: 26.20100000; -158.47700000 | GCF_982942705.1: Parent BioSample SAMN18233096 lat_lon field: 26.201 N 158.477 W,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122297023 | https://www.ncbi.nlm.nih.gov/biosample/SAMN18233098 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122297013 | https://www.ncbi.nlm.nih.gov/biosample/SAMN18233097 | https://www.ncbi.nlm.nih.gov/biosample/SAMEA122297011 | https://www.ncbi.nlm.nih.gov/biosample/SAMN18233096
