Protein accession number,Latitude,Longitude,Exact sampling location,Coordinate evidence,Source URL
WP_320108710.1,78.92,11.95,Svalbard,BioSample lat_lon field: 78.92 N 11.95 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16560995
WP_186475538.1,23.4183,37.245,Not reported,BioSample geographic location fields: latitude 23.4183; longitude 37.245,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115325317
WP_350560759.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943963
WP_320157780.1,Not reported,Not reported,"Sea of Japan, Russia",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339793
WP_299185249.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157159
WP_323128914.1,Not reported,Not reported,Arctic Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN18435561
WP_413190037.1,79.7913,1.7609,Arctic Ocean,BioSample lat_lon field: 79.7913 N 1.7609 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN44748067
WP_367103962.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157142
WP_289116025.1,-22.97,-36.95,Atlantic Ocean,BioSample geographic location fields: latitude -22.97; longitude -36.95,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112958015
WP_198336790.1,Not reported,Not reported,"South Sea, Korea",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339715
WP_367109097.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157143
WP_275691788.1,79.0354,11.2836,Svalbard,BioSample lat_lon field: 79.0354 N 11.2836 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN26171955
WP_367106850.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157144
WP_289116019.1,-22.97,-36.95,Atlantic Ocean,BioSample geographic location fields: latitude -22.97; longitude -36.95,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112958015
WP_223334656.1,29.501,34.917,Israel: Gulf of Aqaba,BioSample lat_lon field: 29.501 N 34.917 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN17204114
WP_334222014.1,Not reported,Not reported,Turkey:Istanbul,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN39959894
WP_240216656.1,79.0354,11.2836,Svalbard,BioSample lat_lon field: 79.0354 N 11.2836 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN26171955
WP_025645679.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943959
WP_025653160.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943957
WP_430285161.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN41009146
WP_367111693.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157145
WP_472781992.1,37.07,131.23,South Korea,BioSample lat_lon field: 37.07 N 131.23 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49492963
WP_201551691.1,Not reported,Not reported,Adelie Island,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339782
WP_201593649.1,Not reported,Not reported,"Sea of Japan, Russia",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339793
WP_228284712.1,Not reported,Not reported,Cuba: Gardens of the Queen,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN15545062
WP_276529530.1,Not reported,Not reported,Okhotsk Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339763
WP_212564402.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN13943412
WP_201582213.1,Not reported,Not reported,"North Cape, Norway",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339746
WP_201577598.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943956
WP_075103633.1,Not reported,Not reported,Spain: Galicia,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06020701
WP_201567718.1,Not reported,Not reported,North Sea,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339731
WP_299069681.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157150
WP_348654209.1,-30.1367,-43.2899,Not reported,BioSample geographic location fields: latitude -30.13670000; longitude -43.28990000,https://www.ncbi.nlm.nih.gov/biosample/SAMEA115420293
WP_201572231.1,Not reported,Not reported,Southern Atlantic Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339759
WP_284719438.1,12.1349,93.0676,"India: Near Henry Lawrence island, Andaman Sea",BioSample lat_lon field: 12.1349 N 93.0676 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN07736517
WP_298980165.1,20,-52.63,Atlantic Ocean,BioSample geographic location fields: latitude 20.0; longitude -52.63,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112958057
WP_201600875.1,Not reported,Not reported,Pacific Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339795
WP_352287807.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943955
WP_300406665.1,15.91,-124.49,Pacific Ocean,BioSample geographic location fields: latitude 15.91; longitude -124.49,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112958480
WP_474735469.1,43.29,8.1,Mediterranean Sea,BioSample geographic location fields: latitude 43.29; longitude 8.1,https://www.ncbi.nlm.nih.gov/biosample/SAMEA120726723
WP_299330080.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157151
WP_435979993.1,37.07,131.23,South Korea,BioSample lat_lon field: 37.07 N 131.23 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49498053
WP_286740907.1,Not reported,Not reported,"USA: Coal Oil Point, Santa Barbara, California",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06450387
WP_305899991.1,37.07,131.23,South Korea,BioSample lat_lon field: 37.07 N 131.23 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49492965
WP_435949448.1,37.07,131.23,South Korea,BioSample lat_lon field: 37.07 N 131.23 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN49502089
WP_298974489.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157156
WP_298739300.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157152
WP_201601002.1,Not reported,Not reported,Pacific Ocean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339795
WP_455706373.1,-1.44,117.24,Indonesia: Makassar Strait,BioSample lat_lon field: 1.44 S 117.24 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN53440442
WP_317053546.1,9.29224,79.2223,India: Palk bay,BioSample lat_lon field: 9.292244 N 79.222254 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN37691628
WP_299330535.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157151
WP_438950592.1,Not reported,Not reported,Not reported,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA118801085
WP_430737341.1,38.914,121.615,China: Dalian,BioSample lat_lon field: 38.9140 N 121.6147 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN46871077
WP_353104189.1,24.1455,47.3119,Saudi Arabia: Riyadh,BioSample lat_lon field: 24.145536 N 47.311947 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN27738345
WP_288996651.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157165
WP_288999309.1,37.562,122.121,China,BioSample geographic location fields: latitude 37.562; longitude 122.121,https://www.ncbi.nlm.nih.gov/biosample/SAMEA112157167
WP_238062109.1,24.61,118.3,China: Fujian,BioSample lat_lon field: 24.61 N 118.30 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN16812795
WP_198336469.1,Not reported,Not reported,"South Sea, Korea",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMEA7339715
WP_274631640.1,Not reported,Not reported,China: Shan Wei,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN29446561
WP_025647269.1,Not reported,Not reported,"Antarctica: Terra Nova Bay, Victoria Land",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN40943959
WP_284143884.1,Not reported,Not reported,Antarctica,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN14082651
WP_486543076.1,Not reported,Not reported,"China: Yantai city, Shandong Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN57384560
WP_486552851.1,Not reported,Not reported,"China: Yantai city, Shandong Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN57386591
WP_486529742.1,Not reported,Not reported,"China: Yantai city, Shandong Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN57386592
WP_491185048.1,Not reported,Not reported,"China: Yantai city, Shandong Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN56462220
WP_486550632.1,Not reported,Not reported,"China: Yantai city, Shandong Province",Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN57386596
WP_284719828.1,12.1349,93.0676,"India: Near Henry Lawrence island, Andaman Sea",BioSample lat_lon field: 12.1349 N 93.0676 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN07736517
WP_319822887.1,40.6084,-8.74803,Portugal: Aveiro,BioSample lat_lon field: 40.608387 N 8.74802899 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN04287219
WP_487990687.1,-50.35,-39.82,Atlantic Ocean,BioSample geographic location fields: latitude -50.35000000; longitude -39.82000000,https://www.ncbi.nlm.nih.gov/biosample/SAMEA122256340
WP_296821200.1,35.65,-7.33,Atlantic Ocean: Gulf of Cadiz,BioSample lat_lon field: 35.65 N 7.33 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN14548604
WP_101892447.1,Not reported,Not reported,South Korea: Taean,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN06011404
WP_266326050.1,27.7089,-97.3359,"USA: Oso Bay, Corpus Christi, TX",BioSample lat_lon field: 27.70894 N 97.33594 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN31468788
WP_269128784.1,Not reported,Not reported,Chile: Coquimbo,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN32155749
WP_182169047.1,Not reported,Not reported,China,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN15644194
WP_473682845.1,Not reported,Not reported,South Korea: Gonghyeonjin,Not reported,https://www.ncbi.nlm.nih.gov/biosample/SAMN52070424
WP_113065197.1,21.49,108.48,China,BioSample lat_lon field: 21.49 N 108.48 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN06127929
WP_301495760.1,22.49,114.58,China: Shenzhen,BioSample lat_lon field: 22.49 N 114.58 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN33330377
WP_225666578.1,81.47,-164.94,Arctic Ocean: Canada Basin,BioSample lat_lon field: 81.470000 N 164.940000 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN02584013
WP_396586513.1,62.6376,17.9395,Sweden: Harnosand,BioSample lat_lon field: 62.637639 N 17.939462 E,https://www.ncbi.nlm.nih.gov/biosample/SAMN38151460
WP_266278385.1,27.7089,-97.3359,"USA: Oso Bay, Corpus Christi, TX",BioSample lat_lon field: 27.70894 N 97.33594 W,https://www.ncbi.nlm.nih.gov/biosample/SAMN31468787
