Genus	Organism	Accession	Original_tip_label	Full_genus_count	Representatives_retained
Pseudoalteromonas	Pseudoalteromonas_sp._2	WP_297330116.1	Pseudoalteromonas_sp._2|WP_297330116.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	58	5
Pseudoalteromonas	Pseudoalteromonas_sp._Cn5-37	WP_235377235.1	Pseudoalteromonas_sp._Cn5-37|WP_235377235.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	58	5
Pseudoalteromonas	Pseudoalteromonas_tetraodonis	WP_483313308.1	Pseudoalteromonas_tetraodonis|WP_483313308.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	58	5
Psychrosphaera	Psychrosphaera_aquimarina	WP_315947146.1	Psychrosphaera_aquimarina|WP_315947146.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Psychrosphaera	Psychrosphaera_sp._1_MG-2023	WP_303521422.1	Psychrosphaera_sp._1_MG-2023|WP_303521422.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Rheinheimera	Rheinheimera_aquimaris_5	WP_415186404.1	Rheinheimera_aquimaris_5|WP_415186404.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	7	2
Rheinheimera	Rheinheimera_sp._2	WP_488096027.1	Rheinheimera_sp._2|WP_488096027.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	7	2
Salinimonas	Salinimonas_sediminis	WP_108566897.1	Salinimonas_sediminis|WP_108566897.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	1	1
Shewanella	Shewanella_waksmanii	WP_394202901.1	Shewanella_waksmanii|WP_394202901.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Shewanella	unclassified_Shewanella	WP_269970245.1	unclassified_Shewanella|WP_269970245.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Thalassotalea	Thalassotalea_castellviae	WP_311580946.1	Thalassotalea_castellviae|WP_311580946.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
Thalassotalea	Thalassotalea_litorea	WP_138319590.1	Thalassotalea_litorea|WP_138319590.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase	4	2
