Genus	Organism	Accession	Original_tip_label
Microbulbifer	Microbulbifer	WP_067085875.1	Microbulbifer|WP_067085875.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Microbulbifer	Microbulbifer_agarilyticus	WP_077405297.1	Microbulbifer_agarilyticus|WP_077405297.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Microbulbifer	Microbulbifer_sp._ABF4_148	WP_475089634.1	Microbulbifer_sp._ABF4_148|WP_475089634.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Neptunicella	Neptunicella_plasticusilytica	WP_416306217.1	Neptunicella_plasticusilytica|WP_416306217.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Paraglaciecola	uncultured_Paraglaciecola_sp.	WP_339720544.1	uncultured_Paraglaciecola_sp.|WP_339720544.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Paraneptunicella	Paraneptunicella_aestuarii	WP_232359458.1	Paraneptunicella_aestuarii|WP_232359458.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Planctobacterium	Planctobacterium_sp._AWH2_060	WP_475231578.1	Planctobacterium_sp._AWH2_060|WP_475231578.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Pseudoalteromonas	Pseudoalteromonas_lipolytica_4	WP_417698834.1	Pseudoalteromonas_lipolytica_4|WP_417698834.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Pseudoalteromonas	Pseudoalteromonas_sp._11	WP_375185160.1	Pseudoalteromonas_sp._11|WP_375185160.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Pseudoalteromonas	Pseudoalteromonas_sp._5	WP_297330116.1	Pseudoalteromonas_sp._5|WP_297330116.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Pseudoalteromonas	Pseudoalteromonas_tetraodonis	WP_483313308.1	Pseudoalteromonas_tetraodonis|WP_483313308.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Psychrosphaera	Psychrosphaera_aquimarina	WP_315947146.1	Psychrosphaera_aquimarina|WP_315947146.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Psychrosphaera	unclassified_Psychrosphaera	WP_215964367.1	unclassified_Psychrosphaera|WP_215964367.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Rheinheimera	Rheinheimera_aquimaris_1	WP_483429720.1	Rheinheimera_aquimaris_1|WP_483429720.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Rheinheimera	Rheinheimera_aquimaris_5	WP_415186404.1	Rheinheimera_aquimaris_5|WP_415186404.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Salinimonas	Salinimonas_sediminis	WP_108566897.1	Salinimonas_sediminis|WP_108566897.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Shewanella	Shewanella_sp._Scap07	WP_179025361.1	Shewanella_sp._Scap07|WP_179025361.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Shewanella	unclassified_Shewanella	WP_269970245.1	unclassified_Shewanella|WP_269970245.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Simiduia	Simiduia_agarivorans	WP_495483543.1	Simiduia_agarivorans|WP_495483543.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
Thalassotalea	Thalassotalea_sp._SU-HH00458	WP_353517955.1	Thalassotalea_sp._SU-HH00458|WP_353517955.1|extracellular_catalytic_domain_type_1_short-chain-length_polyhydroxyalkanoate_depolymerase
