Genus	Organism	Accession	Original_tip_label
Psychrobacter	Psychrobacter_sp._TB55-MNA-CIBAN-0194	WP_352259758.1	Psychrobacter_sp._TB55-MNA-CIBAN-0194|WP_352259758.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	Psychrobacter_sp._WY6	WP_284143884.1	Psychrobacter_sp._WY6|WP_284143884.1|multicopper_oxidase_domain-containing_protein
Psychrobacter	Psychrobacter_sp._bablab_jr012	WP_228284712.1	Psychrobacter_sp._bablab_jr012|WP_228284712.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	unclassified_Psychrobacter_4	WP_025653160.1	unclassified_Psychrobacter_4|WP_025653160.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	uncultured_Psychrobacter_sp._1	WP_298906696.1	uncultured_Psychrobacter_sp._1|WP_298906696.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	uncultured_Psychrobacter_sp._14	WP_299069681.1	uncultured_Psychrobacter_sp._14|WP_299069681.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	uncultured_Psychrobacter_sp._19	WP_298739300.1	uncultured_Psychrobacter_sp._19|WP_298739300.1|copper_resistance_system_multicopper_oxidase
Psychrobacter	uncultured_Psychrobacter_sp._7	WP_299185249.1	uncultured_Psychrobacter_sp._7|WP_299185249.1|copper_resistance_system_multicopper_oxidase
Rhodanobacter	Rhodanobacter_sp._G2-10	WP_473682845.1	Rhodanobacter_sp._G2-10|WP_473682845.1|copper_resistance_system_multicopper_oxidase
Sediminihaliea	Sediminihaliea_albiluteola	WP_182169047.1	Sediminihaliea_albiluteola|WP_182169047.1|copper_resistance_system_multicopper_oxidase
Thalassolituus	Thalassolituus_oleivorans	WP_225666578.1	Thalassolituus_oleivorans|WP_225666578.1|copper_resistance_system_multicopper_oxidase
Thiobacillus	Thiobacillus_sp.	WP_296821200.1	Thiobacillus_sp.|WP_296821200.1|copper_resistance_system_multicopper_oxidase
Vibrio	Vibrio_alginolyticus	WP_269128784.1	Vibrio_alginolyticus|WP_269128784.1|copper_resistance_system_multicopper_oxidase
